ID de la réponse;Date de soumission;Dernière page;Date de lancement;Date de la dernière action;Avez-vous été confronté, que ce soit en tant que victime ou témoin, à des contenus haineux ou injurieux sur internet ?;De quelle nature étaient-ils ?  [Raciste];De quelle nature étaient-ils ?  [Antisémite];De quelle nature étaient-ils ?  [Xénophobe];De quelle nature étaient-ils ?  [Sexiste];De quelle nature étaient-ils ?  [LGBTphobe];De quelle nature étaient-ils ?  [En raison de votre religion];De quelle nature étaient-ils ?  [En raison d'un handicap];De quelle nature étaient-ils ?  [Diffamatoire];De quelle nature étaient-ils ?  [Injurieux];De quelle nature étaient-ils ?  [Harcèlement];De quelle nature étaient-ils ?  [Menace];De quelle nature étaient-ils ?  [Autre];Les avez-vous signalés au site qui les hébergeait ?;Si oui, quelle suite a été donnée à votre signalement ?;Si oui, quelle suite a été donnée à votre signalement ? [Autre];Si non, pourquoi ? ;Les avez-vous signalés à la justice ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ?;Si oui, une réponse judiciaire satisfaisante vous a-t-elle été apportée ? [Autre];Si non, pourquoi ? ;Connaissez-vous la plateforme PHAROS, qui permet de signaler à la police et à la gendarmerie certains contenus et comportements illégaux observés sur internet ?;Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par des dispositifs de signalement accessibles et simples d’usage];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la mise en place par les opérateurs numériques d’outils de détection automatique];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Par la suppression de l’anonymat sur internet];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Je ne sais pas];Comment, selon vous, mieux identifier les contenus haineux ou injurieux sur internet et leurs auteurs ?  [Autre];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Personne, internet doit être un espace libre et non régulé];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Les opérateurs numériques eux-mêmes];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité indépendante (Défenseur des droits, CSA, HADOPI, ARCEP…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une administration nationale (ministère de l’Intérieur, de l’Économie…)];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Une autorité ou une administration européenne];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [L’autorité judiciaire];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Je ne sais pas];Qui doit, selon vous, réguler les contenus haineux ou injurieux sur internet ?  [Autre];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [L’interdiction temporaire d’accéder à internet ou à un ou plusieurs sites internet];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les auteurs de contenus haineux ou injurieux sur internet ? [Autre];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de mise à l’épreuve, de travail d’intérêt général ou de stage];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine d’amende];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Une peine de prison];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [L’interdiction temporaire d’exercer leur activité];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Je ne sais pas];Quelles sanctions doivent être prioritairement prononcées contre les opérateurs numériques ne respectant pas leurs obligations en matière de lutte contre les contenus haineux ou injurieux sur internet ?    [Autre];Vous avez ? ;Vous êtes ...
1;;0;18/04/2019 12:41;18/04/2019 12:41;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;N/A;N/A;N/A;N/A;;;
2;18/04/2019 16:07;3;18/04/2019 16:06;18/04/2019 16:07;Non, jamais;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;Oui;Non;Non;Oui;Non;;Non;Non;Oui;Non;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Non;Non;Non;Oui;Non;;Entre 60 et 69 ans;Une femme
3;18/04/2019 16:11;3;18/04/2019 16:07;18/04/2019 16:11;Oui, de temps en temps;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;;Non;;;Vous pensez que cela est inutile;Non;;;Vous pensez que cela est inutile;Non;Non;Non;Oui;Non;;Non;Oui;Oui;Non;Oui;Non;Non;;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Un homme
4;18/04/2019 16:16;3;18/04/2019 16:11;18/04/2019 16:16;Oui, souvent;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;;Oui;Je ne sais pas;;;Non;;;Vous pensez que cela est inutile;Oui;Oui;Non;Non;Non;Je pense que l'anonymat sur internet est une bonne chose, qui limite au contraire l'harcèlement pour les victimes éventuelles.;Non;Non;Non;Non;Non;Non;Non;Le propriétaire du site doit s'engager à mettre en place une modération du contenu. Une autorité indépendante pourra ériger un ensemble de règles à suivre pour la modération.;Oui;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 25 et 39 ans;Une femme
5;18/04/2019 16:15;3;18/04/2019 16:12;18/04/2019 16:15;Oui, souvent;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Non;Non;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous pensez que cela est inutile;Non;Oui;Non;Oui;Non;;Non;Oui;Non;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Non;Oui;Non;Oui;Non;;Entre 18 et 24 ans;Un homme
6;18/04/2019 16:19;3;18/04/2019 16:16;18/04/2019 16:19;Oui, souvent;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;;Oui;Je ne sais pas;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;;Non;Oui;Non;Non;Non;;Entre 18 et 24 ans;Je ne souhaite pas répondre
7;18/04/2019 16:19;3;18/04/2019 16:17;18/04/2019 16:19;Oui, de temps en temps;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Non;Oui;Oui;;Oui;Aucune suite donnée au signalement;;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Oui;Oui;Oui;Non;Non;;Non;Non;Oui;Non;Non;Oui;Non;;Oui;Non;Non;Oui;Non;;Non;Non;Oui;Oui;Non;;Entre 12 et 17 ans;Un homme
8;18/04/2019 16:31;3;18/04/2019 16:24;18/04/2019 16:31;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Oui;Oui;Non;Non;Non;don't feed the troll;Oui;Non;Non;Non;Non;Non;Non;Sanctions uniquement dans le cas de figures publiques récidivistes;Non;Non;Non;Non;Non;Aucune sauf si personnalité publique. Sinon les bannissements temporaires ou permanents existent déjà.;Non;Non;Non;Non;Non;Rien. Ce n'est pas au FAI de gérer le contenu.;Entre 25 et 39 ans;Un homme
9;18/04/2019 16:39;3;18/04/2019 16:25;18/04/2019 16:39;Oui, de temps en temps;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Oui;;Non;;;Vous ne saviez pas comment effectuer un tel signalement;Non;;;Vous pensez que cela est inutile;Oui;Oui;Non;Non;Non;;Non;Non;Oui;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;Ce n'est pas aux opérateurs numériques de gérer cela.;Entre 25 et 39 ans;Un homme
10;18/04/2019 16:28;3;18/04/2019 16:26;18/04/2019 16:28;Oui, de temps en temps;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;;Non;;;Vous ne le souhaitez pas;Non;;;Vous ne le souhaitiez pas;Oui;Oui;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Non;Oui;Non;Non;Non;;Non;Non;Non;Non;Non;rien;Entre 18 et 24 ans;Un homme
