label,features
1,"[19.0,189.0,0.0]"
1,"[11.0,212.0,1.0]"
1,"[11.0,7.0,1.0]"
1,"[16.0,163.0,1.0]"
1,"[25.0,10.0,0.0]"
1,"[20.0,227.0,1.0]"
1,"[21.0,61.0,8.0]"
1,"[20.0,53.0,1.0]"
1,"[21.0,203.0,1.0]"
1,"[9.0,58.0,2.0]"
1,"[16.0,233.0,9.0]"
1,"[3.0,36.0,4.0]"
1,"[16.0,42.0,0.0]"
1,"[0.0,103.0,1.0]"
1,"[3.0,12.0,1.0]"
1,"[3.0,8.0,0.0]"
1,"[20.0,194.0,5.0]"
1,"[18.0,76.0,1.0]"
1,"[3.0,222.0,0.0]"
1,"[23.0,6.0,2.0]"
1,"[0.0,11.0,0.0]"
1,"[11.0,231.0,1.0]"
1,"[3.0,7.0,0.0]"
1,"[0.0,6.0,1.0]"
1,"[19.0,5.0,1.0]"
1,"[19.0,101.0,0.0]"
1,"[5.0,162.0,1.0]"
1,"[0.0,18.0,1.0]"
1,"[11.0,262.0,1.0]"
1,"[25.0,10.0,8.0]"
1,"[0.0,89.0,0.0]"
1,"[3.0,9.0,1.0]"
1,"[21.0,105.0,1.0]"
1,"[20.0,10.0,1.0]"
1,"[9.0,8.0,1.0]"
1,"[16.0,5.0,1.0]"
1,"[31.0,108.0,1.0]"
1,"[16.0,7.0,1.0]"
1,"[19.0,96.0,1.0]"
1,"[9.0,267.0,0.0]"
1,"[11.0,169.0,1.0]"
1,"[10.0,99.0,1.0]"
1,"[9.0,269.0,7.0]"
1,"[23.0,11.0,1.0]"
1,"[5.0,75.0,0.0]"
1,"[3.0,239.0,5.0]"
1,"[0.0,5.0,1.0]"
1,"[11.0,192.0,1.0]"
1,"[0.0,28.0,1.0]"
1,"[11.0,30.0,1.0]"
1,"[5.0,5.0,4.0]"
1,"[9.0,55.0,0.0]"
1,"[21.0,113.0,1.0]"
1,"[3.0,28.0,1.0]"
1,"[0.0,68.0,6.0]"
1,"[3.0,13.0,1.0]"
1,"[20.0,17.0,0.0]"
1,"[9.0,5.0,1.0]"
1,"[20.0,120.0,4.0]"
1,"[3.0,71.0,1.0]"
1,"[16.0,6.0,1.0]"
1,"[24.0,211.0,5.0]"
1,"[20.0,9.0,1.0]"
1,"[9.0,7.0,0.0]"
1,"[9.0,274.0,0.0]"
1,"[10.0,10.0,1.0]"
1,"[11.0,12.0,9.0]"
1,"[18.0,18.0,4.0]"
1,"[27.0,34.0,10.0]"
1,"[5.0,9.0,0.0]"
1,"[11.0,53.0,9.0]"
1,"[18.0,12.0,1.0]"
1,"[11.0,10.0,1.0]"
1,"[21.0,232.0,4.0]"
1,"[0.0,11.0,1.0]"
1,"[3.0,16.0,0.0]"
1,"[34.0,67.0,8.0]"
1,"[0.0,200.0,1.0]"
