parlementaire,nom_parlementaire,prénom_parlementaire,sexe_parlementaire,url_institution
Adrien Morenas,Morenas,Adrien,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721876
Adrien Quatennens,Quatennens,Adrien,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720422
Agnès Firmin Le Bodo,Firmin Le Bodo,Agnès,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267780
Agnès Thill,Thill,Agnès,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720568
Aina Kuric,Kuric,Aina,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720214
Alain Bruneel,Bruneel,Alain,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720546
Alain David,David,Alain,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1008
Alain Perea,Perea,Alain,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718802
Alain Ramadier,Ramadier,Alain,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721286
Alain Tourret,Tourret,Alain,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA2828
Albane Gaillot,Gaillot,Albane,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721246
Alexandra Louis,Louis,Alexandra,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718918
Alexandra Valetta Ardisson,Valetta Ardisson,Alexandra,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718768
Alexandre Freschi,Freschi,Alexandre,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720030
Alexandre Holroyd,Holroyd,Alexandre,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721150
Alexis Corbière,Corbière,Alexis,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721210
Alice Thourot,Thourot,Alice,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719302
Amélia Lakrafi,Lakrafi,Amélia,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721004
André Chassaigne,Chassaigne,André,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267306
André Villiers,Villiers,André,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA421348
Anissa Khedher,Khedher,Anissa,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722300
Annaïg Le Meur,Le Meur,Annaïg,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719388
Anne Blanc,Blanc,Anne,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718990
Anne Brugnera,Brugnera,Anne,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721328
Anne Genetet,Genetet,Anne,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721024
Anne-Christine Lang,Lang,Anne-Christine,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA643205
Anne-France Brunet,Brunet,Anne-France,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720116
Anne-Laure Blin,Blin,Anne-Laure,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA774954
Anne-Laure Cattelot,Cattelot,Anne-Laure,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720520
Anne-Laurence Petel,Petel,Anne-Laurence,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718930
Annie Chapelier,Chapelier,Annie,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719448
Annie Genevard,Genevard,Annie,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605991
Annie Vidal,Vidal,Annie,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722102
Anthony Cellier,Cellier,Anthony,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719440
Antoine Herth,Herth,Antoine,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267355
Antoine Savignat,Savignat,Antoine,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA748954
Aude Amadou,Amadou,Aude,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720124
Aude Bono-Vandorme,Bono-Vandorme,Aude,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718756
Aude Luquet,Luquet,Aude,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721530
Audrey Dufeu,Dufeu,Audrey,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720046
Aurore Bergé,Bergé,Aurore,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722046
Aurélien Pradié,Pradié,Aurélien,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720100
Aurélien Taché,Taché,Aurélien,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720952
Barbara Bessot Ballot,Bessot Ballot,Barbara,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722312
Bastien Lachaud,Lachaud,Bastien,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720846
Belkhir Belhaddad,Belhaddad,Belkhir,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720362
Benjamin Dirx,Dirx,Benjamin,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722382
Benoit Potterie,Potterie,Benoit,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720590
Benoit Simian,Simian,Benoit,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719592
Bernard Bouley,Bouley,Bernard,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA604
Bernard Brochand,Brochand,Bernard,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA223837
Bernard Deflesselles,Deflesselles,Bernard,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1029
Bernard Perrut,Perrut,Bernard,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA2377
Bernard Reynès,Reynès,Bernard,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA330788
Bertrand Bouyx,Bouyx,Bertrand,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719032
Bertrand Pancher,Pancher,Bertrand,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA333421
Bertrand Sorre,Sorre,Bertrand,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720190
Blandine Brocard,Brocard,Blandine,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721336
Boris Vallaud,Vallaud,Boris,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719930
Brahim Hammouche,Hammouche,Brahim,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720326
Brigitte Kuster,Kuster,Brigitte,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721506
Brigitte Liso,Liso,Brigitte,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720446
Bruno Bilde,Bilde,Bruno,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720822
Bruno Duvergé,Duvergé,Bruno,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720652
Bruno Fuchs,Fuchs,Bruno,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722284
Bruno Joncour,Joncour,Bruno,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719210
Bruno Millienne,Millienne,Bruno,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721976
Bruno Questel,Questel,Bruno,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA643127
Bruno Studer,Studer,Bruno,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720754
Buon Tan,Tan,Buon,H,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721690
Béatrice Descamps,Descamps,Béatrice,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720696
Béatrice Piron,Piron,Béatrice,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721844
Bénédicte Peyrol,Peyrol,Bénédicte,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718736
Bénédicte Pételle,Pételle,Bénédicte,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722090
Bénédicte Taurine,Taurine,Bénédicte,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718860
Bérangère Couillard,Couillard,Bérangère,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719624
Bérengère Poletti,Poletti,Bérengère,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267260
Camille Galliard-Minier,Galliard-Minier,Camille,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719736
Carole Bureau-Bonnard,Bureau-Bonnard,Carole,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720622
Carole Grandjean,Grandjean,Carole,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720170
Caroline Abadie,Abadie,Caroline,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719866
Caroline Fiat,Fiat,Caroline,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720286
Caroline Janvier,Janvier,Caroline,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720074
Catherine Daufès-Roux,Daufès-Roux,Catherine,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719484
Catherine Fabre,Fabre,Catherine,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719570
Catherine Kamowski,Kamowski,Catherine,F,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719994
