"Debat","idContribution","Type","Contribution","Cree","idCommentaire","Pour","Contre","Reponse","idAuteur","Auteur","Age","CodePostal","Categorie",
"1- La définition de l'identité numérique","5e676270d0ac9ac87a631b60","Commentaire","Mon identité numérique est un ensemble d'informations minimales; et certifiées par une autorité de l'état; me permettant de faire valoir mes droits.

Son utilisation doit rester optionnelle et à mon initiative : je dois pouvoir choisir de faire valoir mon identité par un autre moyen (envoi d'un justificatif physique ou dématérialisé).","10/03/2020 09:48:32","5e676270d0ac9ac87a631b60",26,0,1,"5e6761add0ac9ac87a631b5d","Masqué","30-49",87800,"Fonctionnaire ou contractuel-le du secteur public",
"1- La définition de l'identité numérique","5e676b30d0ac9ac87a631b7b","VoteCommentaire","positive","10/03/2020 10:25:52","5e676270d0ac9ac87a631b60",0,0,0,"5e676b0fd0ac9ac87a631b78","Masqué","30-49",13000,"Fonctionnaire ou contractuel-le du secteur public",
"1- La définition de l'identité numérique","5e676c7ad0ac9ac87a631b89","VoteCommentaire","positive","10/03/2020 10:31:22","5e676270d0ac9ac87a631b60",0,0,0,"5e6769a3d0ac9ac87a631b75","Masqué",,13780,,
"1- La définition de l'identité numérique","5e678101d0ac9ac87a631bb4","VoteCommentaire","positive","10/03/2020 11:58:57","5e676270d0ac9ac87a631b60",0,0,0,"5e677ed0d0ac9ac87a631baa","Masqué",,,,
"1- La définition de l'identité numérique","5e678f63d0ac9ac87a631bbf","VoteCommentaire","positive","10/03/2020 13:00:19","5e676270d0ac9ac87a631b60",0,0,0,"5e678c97d0ac9ac87a631bbc","Masqué","30-49",77174,"Artisan ou entrepreneur",
"1- La définition de l'identité numérique","5e69f80ed0ac9ac87a631dab","VoteCommentaire","positive","12/03/2020 08:51:26","5e676270d0ac9ac87a631b60",0,0,0,"5e69f7f0d0ac9ac87a631daa","Masqué",,,,
"1- La définition de l'identité numérique","5e6a75c0d0ac9ac87a631e78","VoteCommentaire","positive","12/03/2020 17:47:44","5e676270d0ac9ac87a631b60",0,0,0,"5e6a74a9d0ac9ac87a631e58","Masqué","65 ou plus",45000,"Salarié-e du secteur privé",
"1- La définition de l'identité numérique","5e6b457ed0ac9ac87a631f18","VoteCommentaire","positive","13/03/2020 08:34:06","5e676270d0ac9ac87a631b60",0,0,0,"5e6b44cdd0ac9ac87a631f13","Masqué","30-49",,,
"1- La définition de l'identité numérique","5e6b5575d0ac9ac87a631f23","VoteCommentaire","positive","13/03/2020 09:42:13","5e676270d0ac9ac87a631b60",0,0,0,"5e6b5314d0ac9ac87a631f20","Masqué","30-49",84800,"Artisan ou entrepreneur",
"1- La définition de l'identité numérique","5e6b94ccd0ac9ac87a631f2b","Reponse","Certains parcours pourraient nécessiter que vous prouviez votre identité; tout comme cela peut être obligatoire dans la ""vraie"" vie.
Quant à un backup physique toujours possible; cela annihile tout l'intérêt de la démarche.","13/03/2020 14:12:28","5e676270d0ac9ac87a631b60",0,0,0,"5e6b913fd0ac9ac87a631f2a","Masqué",,,,
"1- La définition de l'identité numérique","5e6ce6a9d0ac9ac87a631ffd","VoteCommentaire","positive","14/03/2020 14:14:01","5e676270d0ac9ac87a631b60",0,0,0,"5c88e0f0a7e4fe00a4f83753","Masqué","50-65",31500,"Salarié-e du secteur privé",
"1- La définition de l'identité numérique","5e6e04d0d0ac9ac87a632054","VoteCommentaire","positive","15/03/2020 10:34:56","5e676270d0ac9ac87a631b60",0,0,0,"5e6e044fd0ac9ac87a632049","Masqué","50-65",78480,"Salarié-e du secteur privé",
"1- La définition de l'identité numérique","5e6f457cd0ac9ac87a6320c2","VoteCommentaire","positive","16/03/2020 09:23:08","5e676270d0ac9ac87a631b60",0,0,0,"5e6f42f3d0ac9ac87a6320b0","Masqué","18-29",8002,"Étudiant-e",
"1- La définition de l'identité numérique","5e72448ed0ac9ac87a63211d","VoteCommentaire","positive","18/03/2020 15:55:58","5e676270d0ac9ac87a631b60",0,0,0,"5e724372d0ac9ac87a632116","Masqué","18-29",75018,"Étudiant-e",
