"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM738623","PA722344","Hubert Julien-Laferrière","PO733142","GA","France-Equateur","2017-10-10","","Membre"
"PM788932","PA266793","Jean-Yves Bony","PO733427","GA","France-Slovénie","2022-01-14","","Vice-Président"
"PM740405","PA672","Jean-Jacques Bridey","PO733693","GA","France-Botswana Zambie Zimbabwe","2017-10-17","","Membre"
"PM786143","PA720610","Myriane Houplain","PO733057","GA","France-Italie","2021-10-05","","Membre"
"PM749002","PA335612","Jean-Paul Lecoq","PO746796","GE","Discriminations et LGBTQI-phobies dans le monde","2018-02-07","","Membre"
"PM742661","PA719258","Michel Delpon","PO733522","GA","France-Cuba","2017-11-08","","Secrétaire"
"PM735102","PA610775","Philippe Gomès","PO733372","GA","France-Australie","2017-09-26","","Président"
"PM785411","PA718768","Alexandra Valetta Ardisson","PO733157","GA","France-Corée du Sud","2021-08-24","","Membre"
"PM745748","PA719922","Lionel Causse","PO733487","GA","France-Birmanie","2017-12-06","","Vice-Président"
"PM753040","PA336439","Jean-Michel Clément","PO746811","GE","Eau et biodiversité","2018-03-08","","Membre"
"PM736013","PA2492","Didier Quentin","PO733057","GA","France-Italie","2017-09-29","","Membre"
"PM739713","PA721644","Rodrigue Kokouendo","PO733422","GA","France-Serbie","2017-10-12","","Membre"
"PM744483","PA720988","Josette Manin","PO733097","GA","France-Philippines","2017-11-29","","Membre"
"PM740051","PA1874","Marc Le Fur","PO733267","GA","France-Bénin","2017-10-13","","Membre"
"PM739180","PA267735","Claude de Ganay","PO733322","GA","France-Canada","2017-10-11","","Membre"
"PM742406","PA1960","Maurice Leroy","PO733412","GA","France-Russie","2017-10-31","2019-01-09","Vice-Président"
"PM754130","PA335612","Jean-Paul Lecoq","PO733382","GA","France-Israël","2018-03-22","2021-02-22","Membre"
"PM740230","PA721070","Nadia Ramassamy","PO732939","GA","France-Portugal","2017-10-13","","Membre"
"PM787412","PA721194","Frédérique Dumas","PO733382","GA","France-Israël","2021-11-16","","Membre"
"PM764776","PA722252","Marie-Pierre Rixain","PO747017","GE","Jeux vidéo","2019-04-18","","Membre"
"PM744049","PA720696","Béatrice Descamps","PO733637","GA","France-Belgique","2017-11-21","","Vice-Président"
"PM743930","PA330909","Vincent Descoeur","PO733627","GA","France-Espagne","2017-11-22","","Vice-Président"
"PM747749","PA333421","Bertrand Pancher","PO733292","GA","France-Niger","2017-12-06","","Vice-Président"
"PM750876","PA266788","Pierre Morel-À-L'Huissier","PO747099","GE","Parcs nationaux, parcs naturels régionaux et aires protégées","2018-02-20","","Membre"
"PM755041","PA1592","David Habib","PO746624","GE","Amiante","2018-04-03","","Vice-Président"
